,names,value
583,Wood Sage & Sea Salt Jo Malone London,marine
584,Wood Sage & Sea Salt Jo Malone London,salty
585,Wulong Cha Nishane,green
586,Wulong Cha Nishane,fresh spicy
587,Wulong Cha Nishane,citrus
588,XJ 1861 Naxos Xerjoff,vanilla
589,XJ 1861 Naxos Xerjoff,sweet
590,XJ 1861 Naxos Xerjoff,honey
591,XJ 1861 Renaissance Xerjoff,aromatic
592,XJ 1861 Renaissance Xerjoff,green
593,XJ 1861 Renaissance Xerjoff,citrus
594,You Glossier,powdery
595,You Glossier,iris
596,You Glossier,musky
597,You Or Someone Like You Etat Libre d'Orange,aromatic
598,You Or Someone Like You Etat Libre d'Orange,fresh spicy
599,You Or Someone Like You Etat Libre d'Orange,green
600,Ébène Fumé Tom Ford,woody
601,Ébène Fumé Tom Ford,amber
602,Ébène Fumé Tom Ford,smoky
